//CCCC 2022/Level 1 (pre-A1)
人[人]	rén	(N) person [CCCC1]
猫熊[貓熊]	māoxióng	貓熊/熊貓 [māoxióng/xióngmāo](N) panda [CCCC3]
熊猫[熊貓]	xióngmāo	貓熊/熊貓 [māoxióng/xióngmāo](N) panda [CCCC3]
长颈鹿[長頸鹿]	chángjǐnglù	(N) giraffe [CCCC3]
龙[龍]	lóng	(N) dragon [CCCC3]
恐龙[恐龍]	kǒnglóng	(N) dinosaur [CCCC3]
蟑螂[蟑螂]	zhāngláng	(N) cockroach [CCCC3]
虾[蝦]	xiā	(N) shrimp [CCCC3]
鲸鱼[鯨魚]	jīngyú	(N) whale [CCCC3]
企鹅[企鵝]	qì'é	(N) penguin [CCCC3]
乌龟[烏龜]	wūguī	(N) turtle [CCCC3]
老鹰[老鷹]	lǎoyīng	(N) eagle [CCCC3]
尾巴[尾巴]	wěiba	(N) tail [CCCC3]
属[屬]	shǔ	(V) to belong to [CCCC3]
岛[島]	dǎo	(N) island [CCCC3]
湖[湖]	hú	(N) lake [CCCC3]
地球[地球]	dìqiú	(N) earth [CCCC3]
贝壳[貝殼]	bèiké	(N) shell [CCCC3]
海滩[海灘]	hǎitān	(N) beach [CCCC3]
洞[洞]	dòng	(N) hole [CCCC3]
地图[地圖]	dìtú	(N) map [CCCC3]
出现[出現]	chūxiàn	(V) to appear [CCCC3]
离[離]	lí	(Vs) to be distant from [CCCC3]
向[向]	xiàng	(Prep) to, towards [CCCC3]
附近[附近]	fùjìn	(Adv) nearby [CCCC3]
到处[到處]	dàochù	(Adv) everywhere [CCCC3]
卧房[臥房]	wòfáng	(N) bedroom [CCCC3]
阳台[陽台]	yángtái	(N) balcony [CCCC3]
美术馆[美術館]	měishùguǎn	(N) art gallery [CCCC3]
飞机场[飛機場]	fēijīchǎng	(N) airport [CCCC3]
停车场[停車場]	tíngchēchǎng	(N) parking lot [CCCC3]
博物馆[博物館]	bówùguǎn	(N) museum [CCCC3]
补习班[補習班]	bǔxíbān	(N) cram school [CCCC3]
游乐园[遊樂園]	yóulèyuán	(N) amusement park [CCCC3]
图书馆[圖書館]	túshūguǎn	(N) library [CCCC3]
超级市场[超級市場]	chāojíshìchǎng	(N) supermarket [CCCC3]
药房[藥房]	yàofáng	藥房/藥局 [yàofáng/yàojú](N) pharmacy [CCCC3]
药局[藥局]	yàojú	藥房/藥局 [yàofáng/yàojú](N) pharmacy [CCCC3]
工厂[工廠]	gōngchǎng	(N) factory [CCCC3]
庙[廟]	miào	(N) temple [CCCC3]
公司[公司]	gōngsī	(N) company [CCCC3]
十字路口[十字路口]	shízìlùkǒu	(N) crossroad [CCCC3]
斑马线[斑馬線]	bānmǎxiàn	(N) pedestrian crossing [CCCC3]
桥[橋]	qiáo	(N) bridge [CCCC3]
墙[牆]	qiáng	(N) wall [CCCC3]
风景[風景]	fēngjǐng	(N) landscape, scenery [CCCC3]
乡村[鄉村]	xiāngcūn	(N) countryside [CCCC3]
城市[城市]	chéngshì	(N) city [CCCC3]
国旗[國旗]	guóqí	(N) flag [CCCC3]
世界[世界]	shìjiè	(N) world [CCCC3]
文字[文字]	wénzì	(N) character, word [CCCC3]
文化[文化]	wénhuà	(N) culture [CCCC3]
语言[語言]	yǔyán	(N) language [CCCC3]
汉字[漢字]	hànzì	(N) chinese character [CCCC3]
打招呼[打招呼]	dǎzhāohū	(V) to greet, to say hello [CCCC3]
怎么[怎麼]	zěnme	(N) why [CCCC3]
也许[也許]	yěxǔ	(Adv) maybe [CCCC3]
原来[原來]	yuánlái	(Adv) originally [CCCC3]
本来[本來]	běnlái	(Adv) originally [CCCC3]
应该[應該]	yīnggāi	(V) should [CCCC3]
让[讓]	ràng	(V) to let [CCCC3]
必须[必須]	bìxū	(V) must [CCCC3]
需要[需要]	xūyào	(V/N) (to) need [CCCC3]
被[被]	bèi	(Bei) a passive voice marker [CCCC3]
为[為]	wèi	(Prep) for [CCCC3]
为了[為了]	wèile	(Prep) in order to [CCCC3]
可是[可是]	kěshì	(Conj) but [CCCC3]
虽然[雖然]	suīrán	(Conj) although [CCCC3]
连[連]	lián	(Conj) even; and [CCCC3]
与[與]	yǔ	(Conj) and [CCCC3]
除了[除了]	chúle	(Conj) unless, besides, except [CCCC3]
而且[而且]	érqiě	(Conj) moreover [CCCC3]
不但[不但]	búdàn	(Conj/Adv) not only [CCCC3]
啊[啊]	a	(Ptc) ah, an exclamation [CCCC3]
