//CCCC 2022/Level 1 (pre-A1)
人[人]	rén	(N) person [CCCC1]
尺[尺]	chǐ	(N) ruler [CCCC1]
橡皮[橡皮]	xiàngpí	橡皮/橡皮擦 [xiàngpí/xiàngpícā](N) eraser [CCCC1]
橡皮擦[橡皮擦]	xiàngpícā	橡皮/橡皮擦 [xiàngpí/xiàngpícā](N) eraser [CCCC1]
剪刀[剪刀]	jiǎndāo	(N) scissors [CCCC1]
剪[剪]	jiǎn	(V) to cut [CCCC1]
贴[貼]	tiē	(V) to paste [CCCC1]
玩[玩]	wán	(V) to play [CCCC1]
追[追]	zhuī	(V) to chase after, to pursue [CCCC1]
跳舞[跳舞]	tiàowǔ	(V) to dance [CCCC1]
踢[踢]	tī	(V) to kick [CCCC1]
游[游]	yóu	游/游泳 [yóu/yóuyǒng](V) to swim [CCCC1]
游泳[游泳]	yóuyǒng	游/游泳 [yóu/yóuyǒng](V) to swim [CCCC1]
玩具[玩具]	wánjù	(N) toy [CCCC1]
运动[運動]	yùndòng	運動 [yùndòng/yùndong](N/V) sport, (to) exercise [CCCC1]
运动[運動]	yùndong	運動 [yùndòng/yùndong](N/V) sport, (to) exercise [CCCC1]
球[球]	qiú	(N) ball [CCCC1]
气球[氣球]	qìqiú	(N) balloon [CCCC1]
皮球[皮球]	píqiú	(N) ruber ball [CCCC1]
足球[足球]	zúqiú	(N) soccer, football [CCCC1]
棒球[棒球]	bàngqiú	(N) baseball [CCCC1]
篮球[籃球]	lánqiú	(N) basketball [CCCC1]
下棋[下棋]	xiàqí	(V) to play chess [CCCC1]
画[畫]	huà	畫/畫兒 [huà/huàr](V/N) to draw, to paint; picture, drawing, painting [CCCC1]
画儿[畫兒]	huàr	畫/畫兒 [huà/huàr](V/N) to draw, to paint; picture, drawing, painting [CCCC1]
电影[電影]	diànyǐng	(N) film, movie [CCCC1]
音乐[音樂]	yīnyuè	(N) music [CCCC1]
钢琴[鋼琴]	gāngqín	(N) piano [CCCC1]
唱[唱]	chàng	(V) to sing [CCCC1]
弹[彈]	tán	(V) to play (musical instruments) [CCCC1]
歌[歌]	gē	(N) song [CCCC1]
养[養]	yǎng	(V) to raise [CCCC1]
送[送]	sòng	(V) to send, to give [CCCC1]
生日[生日]	shēngrì	(N) birthday [CCCC1]
礼物[禮物]	lǐwù	(N) gift, present [CCCC1]
新年[新年]	xīnnián	(N) New Year [CCCC1]
过年[過年]	guònián	(N/V) to celebrate or spend New Year [CCCC1]
生病[生病]	shēngbìng	(V) to be sick [CCCC1]
感冒[感冒]	gǎnmào	(V) to catch a cold [CCCC1]
打针[打針]	dǎzhēn	(V) to have an injection [CCCC1]
药[藥]	yào	(N) medicine, drug [CCCC1]
车子[車子]	chēzi	車(子) [chē(zi)](N) car [CCCC1]
车[車]	chē	車(子) [chē(zi)](N) car [CCCC1]
船[船]	chuán	(N) boat, ship [CCCC1]
火车[火車]	huǒchē	(N) train [CCCC1]
汽车[汽車]	qìchē	(N) car [CCCC1]
飞机[飛機]	fēijī	(N) airplane [CCCC1]
公车[公車]	gōngchē	公車/公共汽車 [gōngchē/gōnggòngqìchē](N) bus [CCCC1]
公共汽车[公共汽車]	gōnggòngqìchē	公車/公共汽車 [gōngchē/gōnggòngqìchē](N) bus [CCCC1]
脚踏车[腳踏車]	jiǎotàchē	腳踏車/自行車 [jiǎotàchē/zìxíngchē](N) bicycle [CCCC1]
自行车[自行車]	zìxíngchē	腳踏車/自行車 [jiǎotàchē/zìxíngchē](N) bicycle [CCCC1]
到[到]	dào	(V) to arrive, to reach, to go to [CCCC1]
骑[騎]	qí	(V) to ride [CCCC1]
过[過]	guò	(V/Asp) to pass; aspect marker for indicating experience for something [CCCC1]
飞[飛]	fēi	(V) to fly [CCCC1]
雨[雨]	yǔ	(N) rain [CCCC1]
风[風]	fēng	(N) wind [CCCC1]
雪[雪]	xuě	(N) snow [CCCC1]
云[雲]	yún	(N) cloud [CCCC1]
太阳[太陽]	tàiyáng	(N) sun [CCCC1]
月亮[月亮]	yuèliàng	月亮 [yuèliàng/yuèliang](N) moon [CCCC1]
月亮[月亮]	yuèliang	月亮 [yuèliàng/yuèliang](N) moon [CCCC1]
星星[星星]	xīngxing	星(星) [xīng(xing)](N) star [CCCC1]
星[星]	xīng	星(星) [xīng(xing)](N) star [CCCC1]
火[火]	huǒ	(N) fire [CCCC1]
水[水]	shuǐ	(N) water [CCCC1]
冰[冰]	bīng	(N/Vs) ice [CCCC1]
春[春]	chūn	春/春天 [chūn/chūntiān](N) spring [CCCC1]
