char,level,tgh_index,pinyin
叔,1,1065,shū
歧,1,1066,qí
肯,1,1067,kěn
齿,1,1068,chǐ
些,1,1069,xiē
卓,1,1070,zhuó
虎,1,1071,hǔ
虏,1,1072,lǔ
肾,1,1073,shèn
贤,1,1074,xián
尚,1,1075,shàng
旺,1,1076,wàng
具,1,1077,jù
味,1,1078,wèi
果,1,1079,guǒ
昆,1,1080,kūn
国,1,1081,guó
哎,1,1082,āi
咕,1,1083,gū
昌,1,1084,chāng
呵,1,1085,hē
畅,1,1086,chàng
明,1,1087,míng
易,1,1088,yì
咙,1,1089,lóng
昂,1,1090,áng
迪,1,1091,dí
典,1,1092,diǎn
固,1,1093,gù
忠,1,1094,zhōng
呻,1,1095,shēn
咒,1,1096,zhòu
咋,1,1097,zǎ zé zhā
咐,1,1098,fù
呼,1,1099,hū
鸣,1,1100,míng
咏,1,1101,yǒng
呢,1,1102,ne ní
咄,1,1103,duō
咖,1,1104,gā kā
岸,1,1105,àn
岩,1,1106,yán
帖,1,1107,tiē tiě tiè
罗,1,1108,luó
帜,1,1109,zhì
帕,1,1110,pà
岭,1,1111,lǐng
凯,1,1112,kǎi
败,1,1113,bài
账,1,1114,zhàng
贩,1,1115,fàn
贬,1,1116,biǎn
购,1,1117,gòu
贮,1,1118,zhù
图,1,1119,tú
钓,1,1120,diào
制,1,1121,zhì
知,1,1122,zhī
迭,1,1123,dié
氛,1,1124,fēn
垂,1,1125,chuí
牧,1,1126,mù
物,1,1127,wù
乖,1,1128,guāi
刮,1,1129,guā
秆,1,1130,gǎn
和,1,1131,hé hè hú huó huò huo
季,1,1132,jì
委,1,1133,wěi
秉,1,1134,bǐng
佳,1,1135,jiā
侍,1,1136,shì
岳,1,1137,yuè
供,1,1138,gōng gòng
使,1,1139,shǐ
例,1,1140,lì
侠,1,1141,xiá
侥,1,1142,jiǎo yáo
版,1,1143,bǎn
侄,1,1144,zhí
侦,1,1145,zhēn
侣,1,1146,lǚ
侧,1,1147,cè
凭,1,1148,píng
侨,1,1149,qiáo
佩,1,1150,pèi
货,1,1151,huò
侈,1,1152,chǐ
依,1,1153,yī
卑,1,1154,bēi
的,1,1155,de dī dí dì
迫,1,1156,pǎi pò
质,1,1157,zhì
欣,1,1158,xīn
征,1,1159,zhēng
往,1,1160,wǎng
爬,1,1161,pá
彼,1,1162,bǐ
径,1,1163,jìng
所,1,1164,suǒ
舍,1,1165,shě shè
金,1,1166,jīn
刹,1,1167,chà shā
命,1,1168,mìng
肴,1,1169,yáo
斧,1,1170,fǔ
爸,1,1171,bà
采,1,1172,cǎi cài
觅,1,1173,mì
受,1,1174,shòu
乳,1,1175,rǔ
贪,1,1176,tān
念,1,1177,niàn
贫,1,1178,pín
忿,1,1179,fèn
肤,1,1180,fū
肺,1,1181,fèi
肢,1,1182,zhī
肿,1,1183,zhǒng
胀,1,1184,zhàng
朋,1,1185,péng
股,1,1186,gǔ
肮,1,1187,āng
肪,1,1188,fáng
肥,1,1189,féi
服,1,1190,fú fù
胁,1,1191,xié
周,1,1192,zhōu
昏,1,1193,hūn
鱼,1,1194,yú
兔,1,1195,tù
狐,1,1196,hú
忽,1,1197,hū
狗,1,1198,gǒu
狞,1,1199,níng
备,1,1200,bèi
饰,1,1201,shì
饱,1,1202,bǎo
饲,1,1203,sì
变,1,1204,biàn
京,1,1205,jīng
享,1,1206,xiǎng
庞,1,1207,páng
店,1,1208,diàn
夜,1,1209,yè
庙,1,1210,miào
府,1,1211,fǔ
底,1,1212,dǐ
疟,1,1213,nüè yào
疙,1,1214,gē
疚,1,1215,jiù
剂,1,1216,jì
卒,1,1217,cù zú
郊,1,1218,jiāo
庚,1,1219,gēng
废,1,1220,fèi
净,1,1221,jìng
盲,1,1222,máng
放,1,1223,fàng
刻,1,1224,kè
育,1,1225,yù
氓,1,1226,máng
闸,1,1227,zhá
闹,1,1228,nào
郑,1,1229,zhèng
券,1,1230,quàn xuàn
卷,1,1231,juǎn juàn
单,1,1232,chán dān shàn
炬,1,1233,jù
炒,1,1234,chǎo
炊,1,1235,chuī
炕,1,1236,kàng
炎,1,1237,yán
炉,1,1238,lú
沫,1,1239,mò
浅,1,1240,qiǎn
法,1,1241,fǎ
泄,1,1242,xiè
沽,1,1243,gū
河,1,1244,hé
沾,1,1245,zhān
泪,1,1246,lèi
沮,1,1247,jǔ
油,1,1248,yóu
泊,1,1249,bó pō
沿,1,1250,yán
泡,1,1251,pāo pào
注,1,1252,zhù
泣,1,1253,qì
泞,1,1254,nìng
泻,1,1255,xiè
泌,1,1256,bì mì
泳,1,1257,yǒng
