ID,Traditional,Simplified,Level,WritingFreq,SpeakingFreq,MOE,PinyinYB,Pinyin,Variants,POS,Meaning,Compounds,Examples
9660,摒棄,摒弃,7,4,1,1811,bìngqì,bìngqì,,,,,
9661,兵器,兵器,7,5,1,1779,bīngqì,bīngqì,,,,,
9662,病入膏肓,病入膏肓,7,2,1,1854,bìngrùgāohuāng,bìngrùgāohuāng,,,,,
9663,冰山一角,冰山一角,7,1,0,1764,bīngshānyījiǎo,bīngshānyījiǎo,,,,,
9664,病榻,病榻,7,3,2,1835,bìngtà,bìngtà,,,,,
9665,併吞,并吞,7,4,1,1805,bìngtūn,bìngtūn,,,,,
9666,病危,病危,7,4,4,1858,bìngwéi,bìngwéi,,,,,
9667,屏息,屏息,7,4,1,1795,bǐngxí,bǐngxí,,,,,
9668,並行,并行,7,3,1,,bìngxíng,bìngxíng,,,,,
9669,並行不悖,并行不悖,7,2,0,1823,bìngxíngbúbèi,bìngxíngbùbèi,,,,,
9670,博愛,博爱,7,3,4,202,bó'ài,bó'ài,,,,,
9671,駁斥,驳斥,7,5,1,225,bóchì,bóchì,,,,,
9672,駁回,驳回,7,3,1,224,bóhuí,bóhuí,,,,,
9673,波及,波及,7,4,7,118,bōjí,bōjí,,,,,
9674,伯爵,伯爵,7,29,0,,bójué,bójué,,,,,
9675,波瀾,波澜,7,3,2,110,bōlán,bōlán,,,,,
9676,撥弄,拨弄,7,3,2,147,bōnòng,bōnòng,,,,,
9677,剝皮,剥皮,7,3,2,137,bōpí,bōpí,,,,,
9678,博取,博取,7,3,1,197,bóqǔ,bóqǔ,,,,,
9679,勃然大怒,勃然大怒,7,5,0,,bórándànù,bórándànù,,,,,
9680,博學,博学,7,4,1,198,bóxué,bóxué,,,,,
9681,波折,波折,7,3,3,119,bōzhé,bōzhé,,,,,
9682,播種,播种,7,5,14,237,bòzhǒng,bòzhǒng,,,,,
9683,卜,卜,7,8,1,1864,bǔ,bǔ,,,,,
9684,步步為營,步步为营,7,3,0,2367,bùbùwéiyíng,bùbùwéiyíng,,,,,
9685,不啻,不啻,7,3,0,2201,búchì,bùchì,,,,,
9686,不齒,不齿,7,2,0,2200,bùchǐ,bùchǐ,,,,,
9687,不敵,不敌,7,4,3,1970,bùdí,bùdí,,,,,
9688,不動聲色,不动声色,7,4,0,1978,búdòngshēngsè,bùdòngshēngsè,,,,,
9689,不二法門,不二法门,7,2,3,2295,bú'èrfǎmén,bù'èrfǎmén,,,,,
9690,不寒而慄,不寒而栗,7,4,1,2080,bùhán'érlì,bùhán'érlì,,,,,
9691,不合時宜,不合时宜,7,3,0,2074,bùhéshíyí,bùhéshíyí,,,,,
9692,不懷好意,不怀好意,7,3,1,2083,bùhuáihǎoyì,bùhuáihǎoyì,,,,,
9693,捕獲,捕获,7,5,3,1872,bǔhuò,bǔhuò,,,,,
9694,不羈,不羁,7,4,0,,bùjī,bùjī,,,,,
9695,不計其數,不计其数,7,4,1,2091,bùjìqíshù,bùjìqíshù,,,,,
9696,不盡然,不尽然,7,4,4,2111,bújìnrán,bùjìnrán,,,,,
9697,布局/佈局,布局,7,9,7,,bùjú,bùjú,"[{""Traditional"": ""布局"", ""Simplified"": ""布局"", ""Pinyin"": ""bùjú"", ""PinyinYB"": ""bùjú"", ""MOE"": ""2357""}, {""Traditional"": ""佈局"", ""Simplified"": ""布局"", ""Pinyin"": ""bùjú"", ""PinyinYB"": ""bùjú"", ""MOE"": """"}]",,,,
9698,不拘,不拘,7,4,1,2117,bùjū,bùjū,,,,,
9699,不絕,不绝,7,5,4,2119,bùjué,bùjué,,,,,
9700,不均,不均,7,3,2,,bùjūn,bùjūn,,,,,
9701,不堪設想,不堪设想,7,3,1,2064,bùkānshèxiǎng,bùkānshèxiǎng,,,,,
9702,不堪一擊,不堪一击,7,3,1,2067,bùkānyījí,bùkānyījí,,,,,
9703,不可開交,不可开交,7,5,4,2047,bùkěkāijiāo,bùkěkāijiāo,,,,,
9704,不可理喻,不可理喻,7,2,1,2046,bùkělǐyù,bùkělǐyù,,,,,
9705,不可同日而語,不可同日而语,7,0,0,2044,bùkětóngrì'éryǔ,bùkětóngrì'éryǔ,,,,,
9706,不可言喻,不可言喻,7,0,0,2058,bùkěyányù,bùkěyányù,,,,,
9707,不可一世,不可一世,7,3,1,2056,bùkěyíshì,bùkěyīshì,,,,,
9708,不愧,不愧,7,5,6,2071,búkuì,bùkuì,,,,,
9709,不吝,不吝,7,3,2,,búlìn,bùlìn,,,,,
9710,步履,步履,7,4,2,2371,bùlǚ,bùlǚ,,,,,
9711,不謀而合,不谋而合,7,4,2,1926,bùmóu'érhé,bùmóu'érhé,,,,,
9712,不偏不倚,不偏不倚,7,3,1,1921,bùpiānbùyǐ,bùpiānbùyǐ,,,,,
9713,不屈不撓,不屈不挠,7,4,2,2129,bùqūbùnáo,bùqūbùnáo,,,,,
9714,不容,不容,7,14,7,2259,bùróng,bùróng,,,,,
9715,不容置疑,不容置疑,7,2,0,2262,bùróngzhìyí,bùróngzhìyí,,,,,
9716,哺乳動物,哺乳动物,7,2,3,1878,bǔrǔdòngwù,bǔrǔdòngwù,,,,,
9717,不捨,不舍,7,5,8,2224,bùshě,bùshě,,,,,
9718,不勝枚舉,不胜枚举,7,5,1,2237,bùshēngméijǔ,bùshēngméijǔ,,,,,
9719,不失為,不失为,7,4,1,2214,bùshīwéi,bùshīwéi,,,,,
9720,布條,布条,7,3,4,2351,bùtiáo,bùtiáo,,,,,
9721,補貼,补贴,7,3,11,1887,bǔtiē,bǔtiē,,,,,
9722,不為過,不为过,7,4,1,2329,bùwéiguò,bùwéiguò,,,,,
9723,不為所動,不为所动,7,4,1,2330,bùwéisuǒdòng,bùwéisuǒdòng,,,,,
9724,不相上下,不相上下,7,3,2,2146,bùxiāngshàngxià,bùxiāngshàngxià,,,,,
9725,不肖,不肖,7,5,1,2139,bùxiào,bùxiào,,,,,
9726,不屑一顧,不屑一顾,7,3,0,,bùxièyígù,bùxièyīgù,,,,,
9727,不省人事,不省人事,7,3,0,2153,bùxǐngrénshì,bùxǐngrénshì,,,,,
9728,不厭其煩,不厌其烦,7,4,3,2323,búyànqífán,bùyànqífán,,,,,
9729,不亦樂乎,不亦乐乎,7,2,3,2307,búyìlèhū,bùyìlèhū,,,,,
9730,不以為意,不以为意,7,3,2,,bùyǐwéiyì,bùyǐwéiyì,,,,,
9731,不遺餘力,不遗余力,7,4,4,2303,bùyíyúlì,bùyíyúlì,,,,,
9732,不由,不由,7,3,0,,bùyóu,bùyóu,,,,,
9733,不渝,不渝,7,4,1,2333,bùyú,bùyú,,,,,
9734,不虞,不虞,7,2,3,2334,bùyú,bùyú,,,,,
9735,不在話下,不在话下,7,3,2,2271,búzàihuàxià,bùzàihuàxià,,,,,
9736,不擇手段,不择手段,7,5,1,2267,bùzéshǒuduàn,bùzéshǒuduàn,,,,,
9737,不支,不支,7,2,0,2162,bùzhī,bùzhī,,,,,
9738,不知所云,不知所云,7,3,1,2174,bùzhīsuǒyún,bùzhīsuǒyún,,,,,
9739,不住,不住,7,5,1,2191,búzhù,bùzhù,,,,,
9740,補足,补足,7,4,7,1908,bǔzú,bǔzú,,,,,
9741,不足為奇,不足为奇,7,4,1,2276,bùzúwéiqí,bùzúwéiqí,,,,,
9742,猜忌,猜忌,7,5,4,37924,cāijì,cāijì,,,,,
9743,裁減,裁减,7,2,2,37979,cáijiǎn,cáijiǎn,,,,,
9744,裁決,裁决,7,6,2,37980,cáijué,cáijué,,,,,
9745,才貌雙全,才貌双全,7,1,0,37931,cáimàoshuāngquán,cáimàoshuāngquán,,,,,
9746,菜鳥,菜鸟,7,4,1,38030,càiniǎo,càiniǎo,,,,,
9747,才氣,才气,7,3,2,37939,cáiqì,cáiqì,,,,,
9748,採收,采收,7,5,75,38004,cǎishōu,cǎishōu,,,,,
9749,採行,采行,7,6,1,38001,cǎixíng,cǎixíng,,,,,
9750,才學,才学,7,3,2,37941,cáixué,cáixué,,,,,
9751,菜餚,菜肴,7,4,5,38033,càiyáo,càiyáo,,,,,
9752,猜疑,猜疑,7,6,2,37928,cāiyí,cāiyí,,,,,
9753,裁員,裁员,7,5,7,37985,cáiyuán,cáiyuán,,,,,
9754,財源,财源,7,3,1,37967,cáiyuán,cáiyuán,,,,,
9755,才子,才子,7,5,1,37945,cáizǐ,cáizǐ,,,,,
9756,參,参,7,5,2,34675 38101 38188 38923,cān,cān,,,,,
9757,慘白,惨白,7,4,0,38166,cǎnbái,cǎnbái,,,,,
9758,參拜,参拜,7,5,7,38102,cānbài,cānbài,,,,,
9759,慘不忍睹,惨不忍睹,7,3,2,38168,cǎnbùrěndǔ,cǎnbùrěndǔ,,,,,
9760,殘存,残存,7,4,5,38155,cáncún,cáncún,,,,,
9761,參訪,参访,7,4,12,,cānfǎng,cānfǎng,,,,,
9762,殘廢,残废,7,5,1,38137,cánfèi,cánfèi,,,,,
9763,殘骸,残骸,7,4,4,38142,cánhái,cánhái,,,,,
9764,殘害,残害,7,4,3,38143,cánhài,cánhài,,,,,
9765,殘局,残局,7,3,1,38146,cánjú,cánjú,,,,,
9766,慘劇,惨剧,7,4,3,38175,cǎnjù,cǎnjù,,,,,
9767,參考書,参考书,7,3,2,,cānkǎoshū,cānkǎoshū,,,,,
9768,慘烈,惨烈,7,6,2,38172,cǎnliè,cǎnliè,,,,,
9769,殘缺,残缺,7,5,6,38147,cánquē,cánquē,,,,,
9770,殘殺,残杀,7,3,1,38153,cánshā,cánshā,,,,,
9771,慘死,惨死,7,4,0,,cǎnsǐ,cǎnsǐ,,,,,
9772,參天,参天,7,3,0,38106,cāntiān,cāntiān,,,,,
9773,殘餘,残余,7,7,4,38157,cányú,cányú,,,,,
9774,慘狀,惨状,7,2,1,38178,cǎnzhuàng,cǎnzhuàng,,,,,
9775,倉皇,仓皇,7,6,1,38195,cānghuáng,cānghuáng,,,,,
9776,蒼老,苍老,7,3,1,38211,cānglǎo,cānglǎo,,,,,
9777,蒼茫,苍茫,7,2,1,38209,cāngmáng,cāngmáng,,,,,
9778,藏匿,藏匿,7,4,2,38225,cángnì,cángnì,,,,,
9779,滄桑,沧桑,7,4,5,38206,cāngsāng,cāngsāng,,,,,
9780,藏身,藏身,7,6,1,38229,cángshēn,cángshēn,,,,,
9781,蒼天,苍天,7,4,1,38210,cāngtiān,cāngtiān,,,,,
9782,槽,槽,7,3,10,38060,cáo,cáo,,,,,
9783,草創,草创,7,3,3,38084,cǎochuàng,cǎochuàng,,,,,
9784,操勞,操劳,7,3,0,38040,cāoláo,cāoláo,,,,,
9785,草擬,草拟,7,4,2,38074,cǎonǐ,cǎonǐ,,,,,
9786,草皮,草皮,7,3,7,38064,cǎopí,cǎopí,,,,,
9787,操守,操守,7,4,1,38050,cāoshǒu,cāoshǒu,,,,,
9788,草率,草率,7,4,1,38087,cǎoshuài,cǎoshuài,,,,,
9789,嘈雜,嘈杂,7,6,1,38059,cáozá,cáozá,,,,,
9790,策動,策动,7,3,2,37915,cèdòng,cèdòng,,,,,
9791,側門,侧门,7,3,1,37891,cèmén,cèmén,,,,,
9792,側目,侧目,7,3,1,37893,cèmù,cèmù,,,,,
9793,側身,侧身,7,3,1,37895,cèshēn,cèshēn,,,,,
9794,參差不齊,参差不齐,7,2,1,38190,cēncībùqí,cēncībùqí,,,,,
9795,層出不窮,层出不穷,7,6,4,38243,céngchūbùqióng,céngchūbùqióng,,,,,
9796,曾幾何時,曾几何时,7,2,3,38236,céngjǐhéshí,céngjǐhéshí,,,,,
9797,插話,插话,7,4,1,31540,chāhuà,chāhuà,,,,,
9798,茶几,茶几,7,4,2,31596,chájī,chájī,,,,,
9799,剎那,刹那,7,4,5,31623,chànà,chànà,,,,,
9800,察言觀色,察言观色,7,2,1,31614,cháyánguānsè,cháyánguānsè,,,,,
9801,查閱,查阅,7,4,1,31579,cháyuè,cháyuè,,,,,
9802,查證,查证,7,4,2,31574,cházhèng,cházhèng,,,,,
9803,拆穿,拆穿,7,2,1,31702,chāichuān,chāichuān,,,,,
9804,柴火,柴火,7,5,5,31713,cháihuǒ,cháihuǒ,,,,,
9805,拆解,拆解,7,3,4,,chāijiě,chāijiě,,,,,
9806,差遣,差遣,7,3,1,31707,chāiqiǎn,chāiqiǎn,,,,,
9807,拆散,拆散,7,3,0,31704,chāisàn,chāisàn,,,,,
9808,饞,馋,7,3,1,31942,chán,chán,,,,,
9809,摻,掺,7,4,3,31909,chān,chān,,,,,
9810,潺潺,潺潺,7,3,4,31935,chánchán,chánchán,,,,,
9811,剷除,铲除,7,5,2,31973,chǎnchú,chǎnchú,,,,,
9812,纏鬥,缠斗,7,3,1,31947,chándòu,chándòu,,,,,
9813,攙扶,搀扶,7,3,1,31913,chānfú,chānfú,,,,,
9814,諂媚,谄媚,7,4,1,31978,chǎnmèi,chǎnmèi,,,,,
9815,纏綿,缠绵,7,3,0,31945,chánmián,chánmián,,,,,
9816,闡明,阐明,7,5,1,31980,chǎnmíng,chǎnmíng,,,,,
9817,纏繞,缠绕,7,5,2,31949,chánrào,chánrào,,,,,
9818,纏身,缠身,7,4,4,31948,chánshēn,chánshēn,,,,,
9819,禪師,禅师,7,17,2,31925,chánshī,chánshī,,,,,
9820,闡釋,阐释,7,6,1,31981,chǎnshì,chǎnshì,,,,,
9821,摻雜,掺杂,7,4,1,31911,chānzá,chānzá,,,,,
9822,鏟子,铲子,7,4,3,31976,chǎnzi,chǎnzi,,,,,
9823,禪宗,禅宗,7,8,0,31926,chánzōng,chánzōng,,,,,
9824,長程,长程,7,3,2,32145,chángchéng,chángchéng,,,,,
9825,長存,长存,7,2,0,,chángcún,chángcún,,,,,
9826,倡導,倡导,7,7,5,32223,chàngdǎo,chàngdǎo,,,,,
9827,償還,偿还,7,5,5,32197,chánghuán,chánghuán,,,,,
9828,猖獗,猖獗,7,3,4,32092,chāngjué,chāngjué,,,,,
9829,暢快,畅快,7,3,2,32248,chàngkuài,chàngkuài,,,,,
9830,長廊,长廊,7,4,1,,chángláng,chángláng,,,,,
9831,常理,常理,7,6,1,32169,chánglǐ,chánglǐ,,,,,
9832,長眠,长眠,7,3,2,32107,chángmián,chángmián,,,,,
9833,常年,常年,7,3,3,32168,chángnián,chángnián,,,,,
9834,長篇大論,长篇大论,7,3,1,32105,chángpiāndàlùn,chángpiāndàlùn,,,,,
9835,常情,常情,7,4,1,32175,chángqíng,chángqíng,,,,,
9836,悵然,怅然,7,2,1,32243,chàngrán,chàngrán,,,,,
9837,長生不老,长生不老,7,4,3,32153,chángshēngbùlǎo,chángshēngbùlǎo,,,,,
9838,長談,长谈,7,3,1,32116,chángtán,chángtán,,,,,
9839,暢談,畅谈,7,3,1,32246,chàngtán,chàngtán,,,,,
9840,長途跋涉,长途跋涉,7,4,4,32119,chángtúbáshè,chángtúbáshè,,,,,
9841,長矛,长矛,7,4,0,,chángmáo,chángmáo,,,,,
9842,長於,长于,7,3,0,,chángyú,chángyú,,,,,
9843,朝拜,朝拜,7,3,1,31774,cháobài,cháobài,,,,,
9844,超凡,超凡,7,3,1,31734,chāofán,chāofán,,,,,
9845,抄錄,抄录,7,2,1,31722,chāolù,chāolù,,,,,
9846,超群,超群,7,3,1,31747,chāoqún,chāoqún,,,,,
9847,超然,超然,7,5,0,31755,chāorán,chāorán,,,,,
9848,朝聖,朝圣,7,4,22,31782,cháoshèng,cháoshèng,,,,,
9849,朝廷,朝廷,7,85,4,31776,cháotíng,cháotíng,,,,,
9850,超脫,超脱,7,4,2,31741,chāotuō,chāotuō,,,,,
9851,抄襲,抄袭,7,4,3,31725,chāoxí,chāoxí,,,,,
9852,巢穴,巢穴,7,3,1,31772,cháoxuè,cháoxuè,,,,,
9853,朝政,朝政,7,9,0,31780,cháozhèng,cháozhèng,,,,,
9854,撤回,撤回,7,3,1,31680,chèhuí,chèhuí,,,,,
9855,扯上,扯上,7,4,1,,chěshàng,chěshàng,,,,,
9856,徹頭徹尾,彻头彻尾,7,4,1,31688,chètóuchèwěi,chètóuchèwěi,,,,,
9857,塵埃,尘埃,7,6,1,32060,chén'āi,chén'āi,,,,,
9858,沉澱,沉淀,7,6,18,32003,chéndiàn,chéndiàn,,,,,
9859,沉甸甸,沉甸甸,7,3,1,,chéndiàndiàn,chéndiàndiàn,,,,,
9860,塵封,尘封,7,2,1,32054,chénfēng,chénfēng,,,,,
9861,臣服,臣服,7,6,2,31994,chénfú,chénfú,,,,,
9862,沉寂,沉寂,7,5,4,32010,chénjí,chénjí,,,,,
9863,晨間,晨间,7,2,1,,chénjiān,chénjiān,,,,,
9864,沉靜,沉静,7,6,2,32012,chénjìng,chénjìng,,,,,
9865,陳舊,陈旧,7,4,1,32040,chénjiù,chénjiù,,,,,
9866,沉淪,沉沦,7,4,2,32006,chénlún,chénlún,,,,,
9867,沉悶,沉闷,7,6,1,32000,chénmèn,chénmèn,,,,,
9868,沉沒,沉没,7,4,2,31997,chénmò,chénmò,,,,,
9869,沉溺,沉溺,7,4,1,32005,chénnì,chénnì,,,,,
9870,陳年,陈年,7,3,3,32037,chénnián,chénnián,,,,,
9871,陳設,陈设,7,4,2,32046,chénshè,chénshè,,,,,
9872,塵世,尘世,7,4,1,32058,chénshì,chénshì,,,,,
9873,趁勢,趁势,7,3,1,32069,chènshì,chènshì,,,,,
9874,沉痛,沉痛,7,4,2,32004,chéntòng,chéntòng,,,,,
9875,襯托,衬托,7,3,2,32077,chèntuō,chèntuō,,,,,
9876,沉穩,沉稳,7,6,5,32022,chénwěn,chénwěn,,,,,
9877,晨曦,晨曦,7,3,3,32032,chénxī,chénxī,,,,,
9878,沉吟,沉吟,7,4,0,32021,chényín,chényín,,,,,
9879,沉著,沉着,7,7,2,32015,chénzhuó,chénzhuó,,,,,
9880,臣子,臣子,7,8,1,31995,chénzǐ,chénzǐ,,,,,
9881,沉醉,沉醉,7,5,1,32018,chénzuì,chénzuì,,,,,
9882,秤/稱,秤/称,7,192,87,,chèng,chèng,"[{""Traditional"": ""秤"", ""Simplified"": ""秤"", ""Pinyin"": ""chèng"", ""PinyinYB"": ""chèng"", ""MOE"": ""3370 32441""}, {""Traditional"": ""稱"", ""Simplified"": ""称"", ""Pinyin"": ""chèng"", ""PinyinYB"": ""chèng"", ""MOE"": ""32257 32443""}]",,,,
9883,逞,逞,7,4,3,32435,chěng,chěng,,,,,
9884,稱霸,称霸,7,5,1,32258,chēngbà,chēngbà,,,,,
9885,承辦,承办,7,3,1,32372,chéngbàn,chéngbàn,,,,,
9886,呈報,呈报,7,3,1,32393,chéngbào,chéngbào,,,,,
9887,乘車,乘车,7,3,1,,chéngchē,chéngchē,,,,,
9888,城池,城池,7,9,3,32350,chéngchí,chéngchí,,,,,
9889,懲處,惩处,7,4,1,32433,chéngchǔ,chéngchǔ,,,,,
9890,稱道,称道,7,4,1,32259,chēngdào,chēngdào,,,,,
9891,稱號,称号,7,7,8,32261,chēnghào,chēnghào,,,,,
9892,成婚,成婚,7,4,0,32302,chénghūn,chénghūn,,,,,
9893,承繼,承继,7,4,2,32381,chéngjì,chéngjì,,,,,
9894,承接,承接,7,3,8,32382,chéngjiē,chéngjiē,,,,,
9895,乘涼,乘凉,7,3,4,32412,chéngliáng,chéngliáng,,,,,
9896,承蒙,承蒙,7,2,1,32374,chéngméng,chéngméng,,,,,
9897,瞠目結舌,瞠目结舌,7,3,1,32284,chēngmùjiéshé,chēngmùjiéshé,,,,,
9898,稱奇,称奇,7,2,0,,chēngqí,chēngqí,,,,,
9899,逞強,逞强,7,3,1,32437,chěngqiáng,chěngqiáng,,,,,
9900,成群結隊,成群结队,7,3,2,32316,chéngqúnjiéduì,chéngqúnjiéduì,,,,,
9901,乘勢,乘势,7,3,0,,chéngshì,chéngshì,,,,,
9902,成事,成事,7,3,0,,chéngshì,chéngshì,,,,,
9903,稱頌,称颂,7,3,1,32270,chēngsòng,chēngsòng,,,,,
9904,稱謂,称谓,7,4,0,32271,chēngwèi,chēngwèi,,,,,
9905,成文,成文,7,2,1,32335,chéngwén,chéngwén,,,,,
9906,稱心,称心,7,3,1,32444,chèngxīn,chèngxīn,,,,,
9907,誠心誠意,诚心诚意,7,2,0,32361,chéngxīnchéngyì,chéngxīnchéngyì,,,,,
9908,成行,成行,7,3,1,32318,chéngxíng,chéngxíng,,,,,
9909,成性,成性,7,2,0,,chéngxìng,chéngxìng,,,,,
9910,稱許,称许,7,2,0,32266,chēngxǔ,chēngxǔ,,,,,
9911,撐腰,撑腰,7,2,4,32281,chēngyāo,chēngyāo,,,,,
9912,承載,承载,7,4,8,45350,chéngzài,chéngzài,,,,,
9913,懲治,惩治,7,4,1,32432,chéngzhì,chéngzhì,,,,,
9914,稱職,称职,7,6,2,32446,chèngzhí,chèngzhí,,,,,
9915,馳騁,驰骋,7,4,1,31425,chíchěng,chíchěng,,,,,
9916,吃喝玩樂,吃喝玩乐,7,2,2,31380,chīhēwánlè,chīhēwánlè,,,,,
9917,持家,持家,7,3,3,31429,chíjiā,chíjiā,,,,,
9918,吃緊,吃紧,7,2,3,31382,chījǐn,chījǐn,,,,,
9919,赤裸,赤裸,7,5,0,31489,chìluǒ,chìluǒ,,,,,
9920,持平,持平,7,4,1,31428,chípíng,chípíng,,,,,
9921,熾熱,炽热,7,4,2,31512,chìrè,chìrè,,,,,
9922,恥辱,耻辱,7,6,1,31462,chǐrù,chǐrù,,,,,
9923,赤手空拳,赤手空拳,7,2,1,31494,chìshǒukōngquán,chìshǒukōngquán,,,,,
9924,吃香,吃香,7,2,2,31384,chīxiāng,chīxiāng,,,,,
9925,恥笑,耻笑,7,2,1,31461,chǐxiào,chǐxiào,,,,,
9926,嗤之以鼻,嗤之以鼻,7,5,1,31400,chīzhīyǐbí,chīzhīyǐbí,,,,,
9927,持之以恆,持之以恒,7,3,2,31432,chízhīyǐhéng,chízhīyǐhéng,,,,,
9928,沖淡,冲淡,7,3,1,33033,chōngdàn,chōngdàn,,,,,
9929,寵兒,宠儿,7,2,1,,chǒng'ér,chǒng'ér,,,,,
9930,充耳不聞,充耳不闻,7,2,0,33028,chōng'ěrbùwén,chōng'ěrbùwén,,,,,
9931,重估,重估,7,3,0,,chónggū,chónggū,,,,,
9932,充飢,充饥,7,4,1,33016,chōngjī,chōngjī,,,,,
9933,崇敬,崇敬,7,6,2,33106,chóngjìng,chóngjìng,,,,,
9934,衝勁,冲劲,7,3,3,33061,chōngjìng,chōngjìng,,,,,
9935,憧憬,憧憬,7,7,6,33050,chōngjǐng,chōngjǐng,,,,,
9936,重來,重来,7,4,3,,chónglái,chónglái,,,,,
9937,充其量,充其量,7,5,1,33018,chōngqíliàng,chōngqíliàng,,,,,
9938,重申,重申,7,5,9,33093,chóngshēn,chóngshēn,,,,,
9939,重塑,重塑,7,3,4,,chóngsù,chóngsù,,,,,
9940,重圍,重围,7,4,1,33101,chóngwéi,chóngwéi,,,,,
9941,重溫,重温,7,4,3,,chóngwēn,chóngwēn,,,,,
9942,寵信,宠信,7,4,0,33112,chǒngxìn,chǒngxìn,,,,,
9943,重振,重振,7,4,4,33087,chóngzhèn,chóngzhèn,,,,,
9944,衝撞,冲撞,7,5,2,33062,chōngzhuàng,chōngzhuàng,,,,,
9945,稠,稠,7,2,4,31843,chóu,chóu,,,,,
9946,瞅,瞅,7,4,0,31886,chǒu,chǒu,,,,,
9947,籌辦,筹办,7,3,1,31868,chóubàn,chóubàn,,,,,
9948,惆悵,惆怅,7,3,0,31842,chóuchàng,chóuchàng,,,,,
9949,躊躇,踌躇,7,6,1,31880,chóuchú,chóuchú,,,,,
9950,籌措,筹措,7,4,3,31878,chóucuò,chóucuò,,,,,
9951,仇敵,仇敌,7,4,0,31836,chóudí,chóudí,,,,,
9952,抽動,抽动,7,3,0,,chōudòng,chōudòng,,,,,
9953,綢緞,绸缎,7,5,1,31847,chóuduàn,chóuduàn,,,,,
9954,抽筋,抽筋,7,4,2,31817,chōujīn,chōujīn,,,,,
9955,愁苦,愁苦,7,3,1,31858,chóukǔ,chóukǔ,,,,,
9956,酬勞,酬劳,7,4,2,31850,chóuláo,chóuláo,,,,,
9957,愁眉苦臉,愁眉苦脸,7,4,3,31857,chóuméikǔliǎn,chóuméikǔliǎn,,,,,
9958,稠密,稠密,7,2,5,31844,chóumì,chóumì,,,,,
9959,臭氣,臭气,7,3,2,31902,chòuqì,chòuqì,,,,,
9960,籌錢,筹钱,7,2,1,,chóuqián,chóuqián,,,,,
9961,抽籤,抽签,7,4,3,31820,chōuqiān,chōuqiān,,,,,
9962,抽取,抽取,7,4,6,31821,chōuqǔ,chōuqǔ,,,,,
9963,愁容,愁容,7,3,1,31861,chóuróng,chóuróng,,,,,
9964,抽身,抽身,7,2,1,31827,chōushēn,chōushēn,,,,,
9965,仇視,仇视,7,3,1,31839,chóushì,chóushì,,,,,
9966,抽絲剝繭,抽丝剥茧,7,2,1,31829,chōusībōjiǎn,chōusībōjiǎn,,,,,
9967,出醜,出丑,7,2,0,32523,chūchǒu,chūchǒu,,,,,
9968,出道,出道,7,2,1,32463,chūdào,chūdào,,,,,
9969,觸犯,触犯,7,5,1,32697,chùfàn,chùfàn,,,,,
9970,出關,出关,7,2,2,,chūguān,chūguān,,,,,
9971,出汗,出汗,7,4,1,32487,chūhàn,chūhàn,,,,,
9972,出類拔萃,出类拔萃,7,3,1,32473,chūlèibácuì,chūlèibácuì,,,,,
9973,矗立,矗立,7,6,6,32710,chùlì,chùlì,,,,,
9974,出籠,出笼,7,4,1,32479,chūlóng,chūlóng,,,,,
9975,出沒,出没,7,6,3,32454,chūmò,chūmò,,,,,
9976,處女,处女,7,7,1,32647,chǔnǚ,chǔnǚ,,,,,
9977,出氣,出气,7,4,1,32502,chūqì,chūqì,,,,,
9978,出其不意,出其不意,7,4,1,32499,chūqíbùyì,chūqíbùyì,,,,,
9979,出人意表,出人意表,7,3,0,32545,chūrényìbiǎo,chūrényìbiǎo,,,,,
9980,出神,出神,7,5,0,32537,chūshén,chūshén,,,,,
9981,畜生,畜生,7,3,1,32681,chùshēng,chùshēng,,,,,
9982,出示,出示,7,3,1,32532,chūshì,chūshì,,,,,
9983,出使,出使,7,5,2,32530,chūshǐ,chūshǐ,,,,,
9984,出師,出师,7,4,1,32528,chūshī,chūshī,,,,,
9985,處所,处所,7,3,1,32686,chùsuǒ,chùsuǒ,,,,,
9986,出庭,出庭,7,3,0,32467,chūtíng,chūtíng,,,,,
9987,鋤頭,锄头,7,7,12,32630,chútou,chútou,,,,,
9988,出土,出土,7,6,9,32468,chūtǔ,chūtǔ,,,,,
9989,出息,出息,7,2,0,32509,chūxi,chūxi,,,,,
9990,處心積慮,处心积虑,7,3,1,32654,chǔxīnjīlǜ,chǔxīnjīlǜ,,,,,
9991,儲蓄,储蓄,7,5,3,32635,chúxù,chúxù,,,,,
9992,出戰,出战,7,4,0,,chūzhàn,chūzhàn,,,,,
9993,初衷,初衷,7,6,5,32585,chūzhōng,chūzhōng,,,,,
9994,踹,踹,7,3,1,32727,chuài,chuài,,,,,
9995,揣測,揣测,7,5,2,32726,chuǎicè,chuǎicè,,,,,
9996,揣摩,揣摩,7,5,4,32725,chuǎimó,chuǎimó,,,,,
9997,船艙,船舱,7,3,1,32817,chuáncāng,chuáncāng,,,,,
9998,穿插,穿插,7,4,2,32798,chuānchā,chuānchā,,,,,
9999,傳喚,传唤,7,3,1,32839,chuánhuàn,chuánhuàn,,,,,
10000,串連,串连,7,4,10,,chuànlián,chuànlián,,,,,
10001,傳令,传令,7,4,1,32837,chuánlìng,chuánlìng,,,,,
10002,川流不息,川流不息,7,2,3,32788,chuānliúbùxí,chuānliúbùxí,,,,,
10003,傳人,传人,7,3,5,32862,chuánrén,chuánrén,,,,,
10004,傳神,传神,7,4,2,32854,chuánshén,chuánshén,,,,,
