ID,Traditional,Simplified,Level,WritingFreq,SpeakingFreq,MOE,PinyinYB,Pinyin,Variants,POS,Meaning,Compounds,Examples
1213,夜晚,夜晚,3*,38,20,40948,yèwǎn,yèwǎn,,N,night,,台北市到了夜晚還是一樣熱鬧。
1214,一般,一般,3*,285,472,39966,yìbān,yībān,,Vs/Adv,"common, ordinary / generally",一般人，一般是，一般都。,一般人都喜歡又便宜又好用的東西。在台灣，一般的餐廳都十一點開門。 / 大學一般是八點開始上課。我一般都是十點上床睡覺。星期天，銀行一般不開門。
1215,一切,一切,3*,365,112,40123,yíqiè,yīqiè,,Det,"everything, all",一切都好。,知道爸爸媽媽一切都好，我就放心了。這次旅行，我們做好了一切的準備。
1216,衣架,衣架,3*,2,2,,yījià,yījià,,N,coat hanger,掛在衣架上，一個衣架。,我一回到家就把衣服掛在衣架上。
1217,以上,以上,3*,144,145,40471,yǐshàng,yǐshàng,,N,above,五十歲以上，一年以上，中級以上。,在台灣，六十五歲以上的人，搭公車可以買半票。有一些地方，屋子裡要28度以上才能開冷氣。
1218,以下,以下,3*,102,53,40464,yǐxià,yǐxià,,N,"under, below",十八歲以下，150公分以下。,在台灣，18歲以下不能喝酒。搭捷運的時候，115公分以下的小孩不用買票。
1219,意見,意见,3*,133,60,40671,yìjiàn,yìjiàn,,N,"suggestion, opinion",,他們對這件事有不同的意見。
1220,陰天,阴天,3*,2,2,42014,yīntiān,yīntiān,,N,cloudy day,,最近幾天都是陰天，完全看不到太陽。
1221,尤其,尤其,3*,215,228,41273,yóuqí,yóuqí,,Adv,"especially, particularly",尤其是。,我很喜歡台灣的水果，尤其是芒果。
1222,圓,圆,3*,53,44,44827,yuán,yuán,,N/Vs,circle / round,,他在紙上畫了一個圓。 / 今天的月亮很圓。我們家有一張圓桌，可以坐十個人。
1223,原來,原来,3*,210,309,44758,yuánlái,yuánlái,,Adv,original,,這裡原來是咖啡店，現在是便利商店。
1224,原因,原因,3*,286,217,44802,yuányīn,yuányīn,,N,"reason, cause",……的原因。,你知道他生氣的原因嗎？
1225,院子/院,院子/院,3*,58,33,,yuànzi/yuàn,yuànzi/yuàn,"[{""Traditional"": ""院子"", ""Simplified"": ""院子"", ""Pinyin"": ""yuànzi"", ""PinyinYB"": ""yuànzi"", ""MOE"": ""44912""}, {""Traditional"": ""院"", ""Simplified"": ""院"", ""Pinyin"": ""yuàn"", ""PinyinYB"": ""yuàn"", ""MOE"": ""44908""}]",N,courtyard,前院，後院。,夏天的時候，我們常常在院子裡烤肉。
1226,約,约,3*,171,120,44568,yuē,yuē,,V,to do something with someone,,我約了室友明天一起去打籃球。
1227,約會,约会,3*,20,4,44577,yuēhuì,yuēhuì,,V/N,to have a date / date,A跟B約會，約過兩次會，第一次的約會。,明天要跟喜歡的人約會，我決定穿上最漂亮的衣服。 / A：「你昨天的約會怎麼樣？」B：「我們聊得很開心。」
1228,月亮,月亮,3*,34,29,44596,yuèliàng,yuèliàng,,N,moon,,中秋節的時候，我們一邊烤肉，一邊看著又圓又大的月亮。
1229,月台,月台,3*,7,4,,yuètái,yuètái,,,,,
1230,早點,早点,3*,11,11,37131,zǎodiǎn,zǎodiǎn,,N,breakfast,吃早點。,我喜歡吃饅頭當早點。
1231,雜誌,杂志,3*,86,92,36985,zázhì,zázhì,,N,magazine,一本雜誌，汽車雜誌，各種雜誌。,他每個月都會買幾本雜誌。
1232,整,整,3*,386,782,30312,zhěng,zhěng,,Det,whole,整個，整句，整年。,這整個月都在下雨。他整年都在國外工作。
1233,正,正,3*,662,247,30224 30343,zhèng,zhèng,,Adv,while,,我正要出門，就下大雨了。
1234,正常,正常,3*,134,108,30384,zhèngcháng,zhèngcháng,,Vs,normal,,我的手機不太正常，開了一會兒，就自己關了。
1235,正好,正好,3*,74,37,30371,zhènghǎo,zhènghǎo,,Adv,"just right, just enough",,我想去找我朋友的時候，他正好來了。
1236,正式,正式,3*,86,73,30386,zhèngshì,zhèngshì,,Vs,"formal, official",正式的衣服。,姊姊結婚的時候，我們全家都穿得很正式。
1237,枕頭,枕头,3*,15,6,30033,zhěntou,zhěntou,,N,pillow,一個枕頭。,我喜歡睡高一點的枕頭。
1238,汁,汁,3*,16,18,28931,zhī,zhī,,N,juice,蘋果汁，葡萄汁，番茄汁，西瓜汁，橘子汁。,夏天的時候喝一杯西瓜汁讓我覺得非常涼快。
1239,知識,知识,3*,280,111,28961,zhīshì,zhīshì,,N,knowledge,新知識，學習知識。,我們可以在學校學到很多新知識。
1240,鐘,钟,3*,14,11,31253,zhōng,zhōng,,N,bell,打鐘，鐘聲。,老師沒有聽到下課鐘聲，所以一直沒有下課。
1241,中式,中式,3*,2,2,31178,zhōngshì,zhōngshì,,Vs,chinese style,,我喜歡吃中式早餐。他比較喜歡中式的家具。
1242,中學,中学,3*,33,26,31168,zhōngxué,zhōngxué,,N,"middle school, secondary school",一所中學，中學生。,我爸爸在中學教書。他是我中學的同學。
