//TBCL/Level 1
朋友[朋友]	péngyǒu	(N) friend [TBCL1]三個朋友，好朋友，老朋友。我有很多外國朋友。
七[七]	qī	(N) seven [TBCL1]七個，七張，七天。一個星期有七天。
前[前]	qián	(N) in front of / before / previous [TBCL1]在＋（東西）前，三天前，一年前，前兩天，前一課。他站在桌子前跟我說話。我一年前來台灣學中文。這件是我前兩天買的新衣服。
钱[錢]	qián	(N) money [TBCL1]一塊錢，多少錢。這個東西多少錢？這本書，兩百五十塊錢。
千[千]	qiān	(N) thousand [TBCL1]三千人，一千元。桌上有一千元。
请[請]	qǐng	(V) please / to stand treat / to invite / to request, to ask [TBCL1]請坐，請說，請您……。請給我一杯牛奶。上中文課的時候，請說中文。我請你喝咖啡。下星期六請你來我家玩。你可以請朋友幫你叫計程車。
请问[請問]	qǐngwèn	(Ph) May I ask......? [TBCL1]請問車站怎麼去？請問這個字怎麼唸？
去[去]	qù	(V) to go [TBCL1]去（……）＋地方，去那裡，一起去……。我去朋友家吃飯。
去年[去年]	qùnián	(N) last year [TBCL1]去年三月。這件衣服是去年買的。
热[熱]	rè	(Vs) hot [TBCL1]天氣熱，熱茶，熱水。今天好熱！我要一杯熱咖啡。
人[人]	rén	(N) person, people / human being [TBCL1]教室裡有十五個人。人都要吃飯、喝水。
日[日]	rì	(M) day [TBCL1]每日，一日。一年有三百六十五日。
容易[容易]	róngyì	(Vs) easy [TBCL1]天氣冷的時候容易感冒。學中文不是一件容易的事。
三[三]	sān	(N) three [TBCL1]三個，三張，三年。桌上有三個碗。
上[上]	shàng	(N/V) on, above / in the (tree, car) / previous / up to / to get on, to get into [TBCL1]上面，桌上，床上，車上，樹上，上個星期，上個月，上樓，上去，上車，上公車，上火車，上飛機。桌上有一杯咖啡。他在床上睡覺。車上有五個人。我上個月去日本玩。我上樓去拿書。公車來了，快上車吧！
上午[上午]	shàngwǔ	(N) morning [TBCL1]今天上午，每天上午，上午十點。我們明天上午不上課。
少[少]	shǎo	(Vs/Vp) less, little, few / lack, short [TBCL1]少一點，少一個人。我會寫的中文字很少。少一個人，就不能打球。
谁[誰]	shéi	(N) who, whom [TBCL1]誰的。誰要喝咖啡？你知道那個人是誰嗎？這枝筆是誰的？
什么[什麼]	shénme	什麼/甚麼 [shénme](N) what [TBCL1]做什麼，是什麼，買什麼，什麼事，什麼人，什麼N。你今天在學校學了什麼？你晚餐想吃什麼東西？
甚么[甚麼]	shénme	什麼/甚麼 [shénme](N) what [TBCL1]做什麼，是什麼，買什麼，什麼事，什麼人，什麼N。你今天在學校學了什麼？你晚餐想吃什麼東西？
