ID,Traditional,Simplified,Level,Context,WritingFreq,SpeakingFreq,MOE,Zhuyin,Pinyin,POS,Meaning,Compounds,Examples
10034,綽綽有餘,绰绰有余,7,,3,1,"[[""綽綽有餘"", [""32721""]]]",ㄔㄨㄛˋ ㄔㄨㄛˋ ㄧㄡˇ ㄩˊ,chuòchuòyǒuyú,,,,
10035,戳破,戳破,7,,2,1,[],ㄔㄨㄛ ㄆㄛˋ,chuōpò,,,,
10036,啜泣,啜泣,7,,6,1,"[[""啜泣"", [""32715""]]]",ㄔㄨㄛˋ ㄑㄧˋ,chuòqì,,,,
10037,輟學,辍学,7,,4,7,"[[""輟學"", [""32718""]]]",ㄔㄨㄛˋ ㄒㄩㄝˊ,chuòxué,,,,
10038,辭別,辞别,7,,4,1,"[[""辭別"", [""37824""]]]",ㄘˊ ㄅㄧㄝˊ,cíbié,,,,
10039,刺穿,刺穿,7,,3,1,[],ㄘˋ ㄔㄨㄢ,cìchuān,,,,
10040,次等,次等,7,,2,1,"[[""次等"", [""37853""]]]",ㄘˋ ㄉㄥˇ,cìděng,,,,
10041,詞典,词典,7,,5,2,"[[""詞典"", [""37774""]]]",ㄘˊ ㄉㄧㄢˇ/ㄘˊ ㄉㄧㄢˇ,cídiǎn,,,,
10041,辭典,辞典,7,,5,2,"[[""辭典"", [""37826""]]]",ㄘˊ ㄉㄧㄢˇ/ㄘˊ ㄉㄧㄢˇ,cídiǎn,,,,
10042,刺骨,刺骨,7,,4,3,"[[""刺骨"", [""37870""]]]",ㄘˋ ㄍㄨˇ,cìgǔ,,,,
10043,辭彙,辞汇,7,,4,0,"[[""辭彙"", [""37829""]]]",ㄘˊ ㄏㄨㄟˋ,cíhuì,,,,
10044,詞句,词句,7,,4,2,"[[""詞句"", [""37778""]]]",ㄘˊ ㄐㄩˋ,cíjù,,,,
10045,慈母,慈母,7,,3,3,"[[""慈母"", [""37797""]]]",ㄘˊ ㄇㄨˇ,címǔ,,,,
10046,此起彼落,此起彼落,7,,4,2,"[[""此起彼落"", [""37846""]]]",ㄘˇ ㄑㄧˇ ㄅㄧˇ ㄌㄨㄛˋ,cǐqǐbǐluò,,,,
10047,刺殺,刺杀,7,,7,2,"[[""刺殺"", [""37875""]]]",ㄘˋ ㄕㄚ,cìshā,,,,
10048,辭世,辞世,7,,3,1,"[[""辭世"", [""37835""]]]",ㄘˊ ㄕˋ,císhì,,,,
10049,刺探,刺探,7,,2,0,"[[""刺探"", [""37868""]]]",ㄘˋ ㄊㄢˋ,cìtàn,,,,
10050,慈祥,慈祥,7,,5,4,"[[""慈祥"", [""37802""]]]",ㄘˊ ㄒㄧㄤˊ,cíxiáng,,,,
10051,刺繡,刺绣,7,,4,8,"[[""刺繡"", [""37874""]]]",ㄘˋ ㄒㄧㄡˋ,cìxiù,,,,
