Traditional,Simplified,Pinyin,Meaning
這裡,这里,zhèlǐ,N (PW): here [PAVC-109]
這兒,这儿,zhèr,N (PW): here [PAVC-109]
這邊,这边,zhèibiān,"N (PW): here, over here [PAVC-109]"
桌,桌,zhuō,BF: table [PAVC-109]
桌子,桌子,zhuōzi,N: table [PAVC-109]
船,船,chuán,"N: ship, boat (also ～兒) [PAVC-110]"
從,从,cóng,CV: from [PAVC-110]
到,到,dào,"V, CV: to reach, to arrive; to leave for [PAVC-110]"
飛,飞,fēi,V: to fly [PAVC-110]
飛機,飞机,fēijī,N: airplane [PAVC-110]
跟,跟,gēn,"CV, CONJ, V: with; and [PAVC-110]; to follow, to accompany [PAVC-403]"
公車,公车,gōngchē,N: city bus [PAVC-110]
公共汽車,公共汽车,gōnggòngqìchē,N: city bus [PAVC-110]
還好,还好,háihǎo,"IE: OK, nothing special [PAVC-110]"
回,回,huí,V: to return [PAVC-110]
回來,回来,huílái,"V: to return, to come back [PAVC-110]"
回去,回去,huíqù,"V: to leave, to go back [PAVC-110]"
火,火,huǒ,N: fire [PAVC-110]
火車,火车,huǒchē,N: train [PAVC-110]
今天,今天,jīntiān,"MA, N (TW): today [PAVC-110]"
開,开,kāi,"V: to drive, to open, to turn on [PAVC-110]; to bloom, to blossom [PAVC-208]; to hold an event [PAVC-211]; to fill out, to write out, to issue [PAVC-410]"
開車,开车,kāichē,VO: to drive (a car) [PAVC-110]
看見,看见,kànjiàn,V: to see [PAVC-110]
來,来,lái,V: to come [PAVC-110]; to do (something implied in the context) [PAVC-301]
累,累,lèi,SV: to be tired [PAVC-110]
明天,明天,míngtiān,"MA, N (TW): tomorrow [PAVC-110]"
票,票,piào,N: ticket [PAVC-110]
請坐,请坐,qǐngzuò,"IE: sit down, please have a seat [PAVC-110]"
上午,上午,shàngwǔ,"NA, N (TW): before noon, morning [PAVC-110]"
什麼時候,什么时候,shénmeshíhòu,MA (QW): when? what time? [PAVC-110]
時候,时候,shíhòu,N: time [PAVC-110]
天,天,tiān,"N, M: day, sky, heaven [PAVC-110]"
停,停,tíng,V: to stop [PAVC-110]
停車,停车,tíngchē,VO: to park a car [PAVC-110]
玩兒,玩儿,wánr,"V: to play, to enjoy [PAVC-110]"
晚,晚,wǎn,SV: to be late [PAVC-110]
晚飯,晚饭,wǎnfàn,"N: dinner, supper [PAVC-110]"
晚上,晚上,wǎnshàng,"MA, N (TW): evening [PAVC-110]"
午,午,wǔ,"BF: noon, midday [PAVC-110]; N: 7th of the Twelve Terrestrial Branches, symbolized by the horse (馬) [PAVC-517]"
午飯,午饭,wǔfàn,N: lunch [PAVC-110]
下午,下午,xiàwǔ,"MA, N: afternoon [PAVC-110]"
一塊兒,一块儿,yíkuàir,"A: together, together with, with [PAVC-110]"
已經,已经,yǐjīng,A: already [PAVC-110]
早飯,早饭,zǎofàn,N: breakfast [PAVC-110]
早上,早上,zǎoshàng,"MA, N (TW): morning [PAVC-110]"
怎麼,怎么,zěnme,A (QW): how? [PAVC-110]
怎麼樣,怎么样,zěnmeyàng,IE: how about … ? how is everything? [PAVC-110]
中午,中午,zhōngwǔ,"MA, N (TW): noon [PAVC-110]"
走,走,zǒu,V: to walk [PAVC-110]
走路,走路,zǒulù,"VO, PT: to walk (on a road or street) [PAVC-110]; to fire someone, to dismiss someone from a job (叫～、請～) [PAVC-308]"
昨天,昨天,zuótiān,"MA, N (TW): yesterday [PAVC-110]"
坐,坐,zuò,"V, CV: to sit, to travel, ""sit"" on a plane, boat, or train, etc.; to go by … [PAVC-110]"
吧,吧,ba,"P: question particle, implying probability; sentence suffix, indicating a request [PAVC-111]"
班,班,bān,"N, M: class; measure for a group [PAVC-111], measure word for regularly scheduled means of transport [PAVC-411]"
別,别,bié,A: don't [PAVC-111]
別的,别的,biéde,N: other [PAVC-111]
別人,别人,biérén,N: other people [PAVC-111]
差,差,chà,"V: to lack, to be short of [PAVC-111]"
差不多,差不多,chàbùduō,"A: about, almost [PAVC-111]"
床,床,chuáng,N: bed [PAVC-111]
等,等,děng,V: to wait [PAVC-111]
點,点,diǎn,"M, N, V: o'clock, measure word for a small quantity of things; point, spot [PAVC-111]; to click with a computer mouse [PAVC-513]"
點鐘,点钟,diǎnzhōng,M: o'clock [PAVC-111]
對不起,对不起,duìbùqǐ,"IE: sorry, excuse me [PAVC-111]"
分鐘,分钟,fēnzhōng,"M, N: minute [PAVC-111]"
公車站,公车站,gōngchēzhàn,"N: bus stand, bus stop [PAVC-111]"
公司,公司,gōngsī,N: company [PAVC-111]
過,过,guò,"V, CV: to pass [PAVC-111] (an occasion) [PAVC-313]; a suffix indicating completion of an action, or completion of an action as an experience [PAVC-204]"
火車站,火车站,huǒchēzhàn,N: train station [PAVC-111]
刻,刻,kè,M: a quarter of an hour [PAVC-111]; to carve [PAVC-313]
課,课,kè,"N, M: class; measure word for lessons [PAVC-111]"
馬上,马上,mǎshàng,A: immediately [PAVC-111]
沒問題,没问题,méiwèntí,IE: no problem [PAVC-111]
每,每,měi,DEM: every [PAVC-111]
門,门,mén,"N: door, gate (also ～兒) [PAVC-111]"
門口,门口,ménkǒu,"N: entrance, doorway [PAVC-111]"
起床,起床,qǐchuáng,VO: to get up from bed [PAVC-111]
上班,上班,shàngbān,"VO: to begin work, to start work, to go to work [PAVC-111]"
睡,睡,shuì,V: to sleep [PAVC-111]
睡覺,睡觉,shuìjiào,VO: to sleep [PAVC-111]
問題,问题,wèntí,"N: problem, question [PAVC-111]"
下課,下课,xiàkè,"VO, IE: to get out of class; end of class [PAVC-111]"
休息,休息,xiūxí,V: to rest [PAVC-111]
夜,夜,yè,"N, M: night [PAVC-111]"
夜裡,夜里,yèlǐ,"MA, N (TW): night [PAVC-111]"
一會,一会,yíhuì,"MA, N: a moment, a short while (…h, also with the third tone, also ～兒) [PAVC-111]"
一起,一起,yìqǐ,A: together [PAVC-111]
站,站,zhàn,"V, N: to stand; train or bus station [PAVC-111]"
鐘,钟,zhōng,N: clock [PAVC-111]
鐘頭,钟头,zhōngtóu,N: hour [PAVC-111]
辦,办,bàn,"V: to handle, to manage [PAVC-112]"
筆試,笔试,bǐshì,N: written test [PAVC-112]
春季,春季,chūnjì,"MA, N (TW): spring [PAVC-112]"
春節,春节,Chūnjié,"N: Chinese New Year (Lunar New Year, Spring Festival) [PAVC-112] [PAVC-313]"
春天,春天,chūntiān,"MA, N (TW): spring [PAVC-112]"
冬季,冬季,dōngjì,"MA, N (TW): winter [PAVC-112]"
冬天,冬天,dōngtiān,"MA, N (TW): winter [PAVC-112]"
風景,风景,fēngjǐng,"N: scenery, view, landscape [PAVC-112]"
該,该,gāi,AV: should [PAVC-112]; CV(-N): it's …'s turn [PAVC-412]; DEM: the (as a determiner) [PAVC-520]
剛,刚,gāng,"A: just, recently [PAVC-112]"
剛剛,刚刚,gānggāng,"MA, N (TW): just now (second character can be replaced with 才) [PAVC-112]"
國家,国家,guójiā,"N: nation, country [PAVC-112]"
好幾,好几,hǎojǐ,A-NU: quite a few [PAVC-112]
號,号,hào,M: measure word for numbers and dates [PAVC-112]
急,急,jí,"SV: to be anxious, rushing [PAVC-112]"
季,季,jì,"N, M: season [PAVC-112]"
季節,季节,jìjié,N: season [PAVC-112]
節,节,jié,"N, M: festival; section (for classes) [PAVC-112]"
